area_id,area_name,spot_name,category,sub_category,best_time_slot,stay_minutes,price_range,budget_level,mood_tags,interest_tags,recommended_for,indoor_outdoor,weather_ok,lat,lng,address,official_url,source_url,short_description,tips,verification_status,last_checked_at,notes
shibuya,渋谷,渋谷ブルーコーヒー,cafe,コーヒーショップ,morning|afternoon|evening,60,1000-2000,中,"リラックス,おしゃれ","cafe,photography",first|second|all,indoor,TRUE,35.6640944,139.6995175,日本、〒150-0041 東京都渋谷区神南１丁目７−３,https://store.bluebottlecoffee.jp/pages/shibuya?utm_source=google&utm_campaign=my_business&utm_id=C023Shibuya&utm_term=top,https://maps.google.com/?cid=9524574573685724537,渋谷の隠れ家的コーヒーショップで、落ち着いた雰囲気の中でコーヒーを楽しめます。,窓際の席からの景色が特におすすめです。,unverified,2025-12-17,
shibuya,渋谷,代々木公園アートウォーク,park,アートウォーク,anytime,120,無料,low,"アート, 自然, 散歩","art,walk,nature,photography",all,outdoor,TRUE,35.6692891,139.6898653,日本、〒151-0063 東京都渋谷区富ケ谷１丁目６−１４,,https://www.google.com/maps/place/?q=place_id:ChIJ62qlYEvzGGARHL_mRqJcUR0,代々木公園内でアートを楽しみながら散策できるスポット。,天気の良い日に訪れると、アートと自然のコラボレーションを楽しめます。,unverified,2025-12-17,
shibuya,渋谷,渋谷マークシティ,shopping,mall,anytime,120,$$,middle,"lively,modern",shop,all,indoor,TRUE,35.6581085,139.6986263,日本、〒150-0043 東京都渋谷区道玄坂１丁目１２−１,,https://www.google.com/maps/place/?q=place_id:ChIJQcMHZ6qMGGARWHRxn-Vn8uA,渋谷の中心に位置するショッピングモールで、様々な店舗が揃っています。,混雑する時間帯を避けると快適にショッピングが楽しめます。,unverified,2025/12/17,
shibuya,渋谷,渋谷パルコ,shopping,mall,anytime,120,$$,mid,"trendy, vibrant",shop,all,indoor,TRUE,35.6620484,139.6987767,日本、〒150-8377 東京都渋谷区宇田川町１５−１ 渋谷パルコ・ヒューリックビル B1-10階,https://shibuya.parco.jp/?utm_source=mybusiness,https://maps.google.com/?cid=1935335699422656795,渋谷の中心に位置するトレンディなショッピングモール。,最新のファッションやアートを楽しむことができます。,unverified,2025/12/17,
shibuya,渋谷,渋谷ヒカリエ,shopping,mall,anytime,120,$$,middle,"trendy,modern","shop,cafe",all,indoor,TRUE,35.6591239,139.7037298,日本、〒150-8510 東京都渋谷区渋谷２丁目２１−１,https://www.hikarie.jp/,https://maps.google.com/?cid=8082119682224487653,渋谷の中心に位置するショッピングモールで、ファッションやグルメが楽しめる。,上層階の展望台からの景色もおすすめ。,unverified,2025/12/17,
shibuya,渋谷,渋谷マルイ,shopping,mall,anytime,120,$$,mid,"trendy,energetic",shop,all,indoor,TRUE,35.6608725,139.7010863,日本、〒150-0041 東京都渋谷区神南１丁目２２−６,,https://www.google.com/maps/place/?q=place_id:ChIJt9piC6iMGGARMZi3VYP_duY,渋谷の中心に位置するショッピングモールで、最新のファッションや雑貨が揃っています。,週末は混雑するので、平日の訪問をおすすめします。,unverified,2025/12/17,
shibuya,渋谷,Nintendo TOKYO,shopping,entertainment,anytime,120,$$,mid,"fun,exciting","shop,entertainment",all,indoor,TRUE,,,,,,Nintendoの最新ゲームやグッズを楽しめるショップ。,混雑する時間帯を避けると良い。,unverified,2025/12/17,
shibuya,渋谷,ポケモンセンター渋谷,shopping,gifts,anytime,60,$$,medium,"fun,nostalgic",shop,all,indoor,TRUE,35.6619557,139.6984408,日本、〒150-8377 東京都渋谷区宇田川町１５−１ 渋谷PARCO 6F,https://www.pokemon.co.jp/shop/pokecen/shibuya/,https://maps.google.com/?cid=2217453771883117210,ポケモン関連商品が豊富に揃うショップ。,限定商品やイベントをチェックして訪れると良い。,unverified,2025/12/17,
shibuya,渋谷,渋谷キャスト,shopping,mall,anytime,60,$$,middle,"trendy,relaxed","shop,cafe",all,both,TRUE,35.6625258,139.7028806,日本、〒150-0002 東京都渋谷区渋谷１丁目２３−２１,http://shibuyacast.jp/,https://maps.google.com/?cid=10321814560933685896,渋谷の新しいショッピングスポットで、カフェやショップが揃っています。,周辺の渋谷エリアも散策してみてください。,unverified,2025/12/17,
shibuya,渋谷,はかた地どり　福栄組合渋谷店,restaurant,japanese,lunch|evening,60,$$,medium,"casual,cozy",gourmet,first|second|all,indoor,TRUE,35.6598715,139.6993142,日本、〒150-0042 東京都渋谷区宇田川町２３−５ 7F,,https://www.google.com/maps/place/?q=place_id:ChIJcQ_nKXSNGGAR_9d1UcyeDIo,新鮮な地鶏を使用した料理が楽しめる居酒屋。,予約をおすすめします。,unverified,2025/12/17,
